Course code,Weighted Mean,Keywords
EC47003,87.1111111111111,Core
CE39004,87.1088888888889,Core
CH40001,86.8388888888889,"Core, Mathematics, Environment"
PH41014,86.75222222222223,"Core, Mathematics"
EE39201,86.66666666666666,"Tech, Core"
KS20201,86.5925925925926,Language
CH30012,86.08666666666667,Core
HS50001,85.77777777777777,"Core, Mathematics"
AR23302,85.33333333333333,Core
CE29206,85.11111111111111,Core
EX51003,85.11111111111111,Core
EX51001,84.66666666666667,Core
AR29204,84.66666666666667,Core
PH41010,84.36222222222221,Core
AR23304,84.22222222222223,Tech
PH41012,84.18555555555554,"Core, Mathematics, Optimization"
CY60023,83.77777777777779,
CH39015,83.63851851851852,Core
NA30203,83.33333333333334,Core
PH41008,82.69,Core
MI60215,82.44444444444443,
IM21203,82.26888888888888,Business
GG48016,82.22222222222221,Environment
GG49008,82.22222222222221,Core
CE39008,82.11222222222221,Core
CE48001,82.03666666666666,Core
AR34201,82.0,"Tech, Core"
BT30201,81.77777777777777,"Core, Environment"
GG20205,81.55555555555554,Environment
PH29207,81.33333333333333,Core
PH49012,81.23333333333333,"Tech, Core"
CE39007,80.75259259259259,Core
GG29205,80.48888888888888,"Core, Environment"
CE69021,79.23555555555555,
HS50025,78.88888888888889,Business
GG57003,78.88888888888889,"Tech, Core, Software"
GG40008,78.88888888888889,Core
MI31008,78.84666666666668,Core
HS50024,78.44444444444444,Environment
MT21201,78.39555555555556,Core
PH41016,78.24555555555555,"Core, Mathematics"
AR30201,78.22222222222221,Core
MA30227,78.06,"Mathematics, Optimization"
CS60010,77.97888888888889,
AG29201,77.91888888888889,"Tech, Core, Environment"
EV20001,77.81166666666667,Environment
MT29203,77.52666666666666,Core
MI31002,77.41111111111111,Environment
CE21206,77.33333333333333,Core
BS20001,77.26759259259259,Core
HS60092,77.11111111111111,
AR20202,77.11111111111111,"Core, Environment"
ME48602,76.88888888888889,Core
AG29203,76.66888888888889,Core
GG52001,76.44444444444444,Core
MA41006,76.44444444444444,Mathematics
GG49012,75.55555555555556,"Core, Environment"
MI38002,75.47555555555556,Environment
MA60237,75.33333333333333,
MF30003,75.30222222222223,Core
GG50003,75.11111111111111,"Core, Environment"
PH29205,75.11111111111111,"Core, Lab"
EE69014,74.66666666666667,
GG59007,74.44444444444444,Core
MA58005,74.44444444444444,It is not possible to classify a seminar into a specific engineering course category as it can cover a wide range of topics and may not necessarily be related to engineering.
MT29201,74.43777777777777,Core
MA41004,74.22222222222223,Core
GG48012,74.0,Environment
GG48014,74.0,Environment
AR40023,73.93111111111111,Core
MA21203,73.85333333333334,Core
AR30203,73.55555555555556,Core
GG40012,73.33333333333333,Core
PH29204,73.11111111111111,"Tech, Core, Software, Mathematics, Optimization"
AI69002,73.11111111111111,
EE31011,73.03185185185185,Core
CE29203,73.01407407407407,Core
MI60235,72.88888888888889,
MA20104,72.61703703703704,Mathematics
MI39002,72.50333333333333,Environment
CH39020,72.42666666666666,"Tech, Core"
EE49004,72.22222222222223,Core
MA59009,72.22222222222223,"Tech, Core, Software"
MI31004,72.08111111111111,Business
GG49014,71.55555555555556,Core
AE21205,71.38888888888889,Core
PH39201,71.33333333333334,Core
MI40021,71.33333333333333,Core
PH39209,71.11111111111111,Core
EE69205,71.11111111111111,
PH21202,70.88888888888889,Core
EE60101,70.88888888888889,
MI48001,70.74666666666666,Core
CE39011,70.67777777777778,Core
MI57001,70.66666666666666,"Tech, Core, Software"
MA30110,70.62777777777777,Tech
CE20203,70.62444444444444,"Tech, Core"
EE60102,70.44444444444444,
ME60234,70.22222222222223,
GG58003,70.22222222222223,"It is difficult to classify a seminar into a specific category without more information about the content and focus of the seminar. Seminars can cover a wide range of topics and can be applicable to multiple categories such as Tech, Consult, Core, ML, Software, Business, Entrepreneurship, Language, Environment, etc."
CS40032,70.01,Software
GG20201,69.52777777777777,Core
HS49002,69.51,Mathematics
CH31010,69.4637037037037,Core
GG28202,69.33333333333334,Environment
MT31012,69.30555555555556,Core
AE21201,69.06888888888889,"Tech, Core"
AG20201,69.00555555555555,"Tech, Core, Environment"
GG50005,68.88888888888889,Core
CH61012,68.88888888888889,
PH41019,68.88666666666667,"Core, Mathematics"
IM39006,68.85777777777777,"Tech, Core"
CH47025,68.68333333333334,Core
EP21201,68.68148148148148,Entrepreneurship
AG20203,68.44777777777777,Core
MI20201,68.25888888888889,"Core, Environment"
ME49601,68.08555555555556,Core
CE21203,68.06296296296297,Core
MF30604,68.02444444444444,Core
AI67001,68.0,
MT32008,67.99333333333334,"Tech, Core"
MI40001,67.94111111111111,"Tech, Core, Environment"
HS41002,67.93777777777778,Core
MT39022,67.82111111111111,"Tech, Core"
AI61003,67.73777777777777,
CH58001,67.55555555555556,Language
EP60008,67.42777777777779,
GG40014,67.33333333333333,Core
MT49009,67.09333333333333,"Tech, Core"
EP60042,66.75777777777778,
MT39004,66.71888888888888,Core
GG58020,66.66666666666667,Language
CH57003,66.44444444444444,Core
CH30014,66.42814814814814,"Tech, Core, Environment"
PH41004,66.37555555555555,"Tech, Core"
HS51002,66.22222222222221,Core
AI60003,66.07962962962962,
MT31022,66.05333333333334,"Tech, Core"
PH20202,66.0,Core
CE30203,65.83777777777777,Core
CE20201,65.82962962962964,Core
MA49012,65.77777777777777,Language
PH29202,65.77777777777777,Core
PH49014,65.55555555555556,"Core, Mathematics"
MI47005,65.37777777777778,Core
GG50007,65.33333333333333,Core
ME19001,65.22861111111112,Core
PH59008,65.11111111111111,Core
AI58001,64.88888888888889,Language
GG40006,64.88888888888889,Environment
MT41009,64.7611111111111,"Tech, Core"
BT29205,64.56111111111112,Core
EP60029,64.49185185185185,
EC47004,64.44444444444444,Core
PH30201,64.44444444444444,"Tech, Core"
PH31207,64.44444444444444,Core
IM41001,64.41666666666667,Core
CY19001,64.39527777777778,Core
MT21203,64.2811111111111,Core
IM49001,64.18222222222221,"Tech, Core, Software, Business, Entrepreneurship"
IM39003,64.17444444444445,"Tech, Core"
PH41017,64.08666666666667,Core
EE49001,64.02555555555556,"Tech, Core"
IM31002,64.01444444444445,Core
CE31306,63.717777777777776,Environment
EE40002,63.55555555555555,Core
HS31082,63.42333333333333,Business
BT29203,63.4,Core
BM40012,63.11111111111111,Core
PH19001,63.06166666666667,Core.
MA41022,62.66666666666666,Core
IM31010,62.296666666666674,"Core, Business"
IM39005,62.12592592592592,Core
PH21205,62.0,"Core, Mathematics"
EE60037,61.55555555555556,
CH61015,61.333333333333336,
AR57101,61.333333333333336,Core
PH21204,61.333333333333336,"Tech, Core"
GG20208,60.888888888888886,"Core, Environment"
RT30018,60.54666666666667,Core
EP60044,60.52518518518519,
MA49003,60.35666666666666,Core/Software.
